733.02792455928, 0.00123682339729299
733.096106117613, 2.03091762090474E-4
733.256579303392, 5.87801607227492E-5
733.448609721386, 2.51188643150959E-5
733.784360544523, 1.11212562118359E-5
734.281595675989, 5.87801607227493E-6
734.891771509126, 3.98107170553499E-6
735.129802187496, 3.45510729459223E-6
735.609603720549, 2.60246330952839E-6
736.479962490805, 1.82615846827027E-6
737.336734132808, 1.37550298900886E-6
738.881874303667, 9.31602765812554E-7
739.850025842729, 7.80382806346956E-7
741.252291547384, 6.08997324441948E-7
743.111366610261, 4.5871026782344E-7
744.577995765834, 3.84251334625434E-7
746.034788075585, 3.21878751182126E-7
749.521335521706, 2.34008034700135E-7
756.179495249034, 1.52973211609137E-7
